Sensor,DateTime,Value,Max,Min,Unit
third,26/12/2020 14:51,0.4796875,,,g
third,26/12/2020 14:52,0.4790625,,,g
third,26/12/2020 14:55,0.48125,,,g
third,26/12/2020 14:56,0.4890625,,,g
third,26/12/2020 14:57,0.4771875,,,g
third,26/12/2020 14:58,0.4684375,,,g
third,26/12/2020 14:59,0.48,,,g
third,26/12/2020 15:02,0.4628125,,,g
third,26/12/2020 15:04,0.386875,,,g
third,26/12/2020 15:05,0.4621875,,,g
third,26/12/2020 15:08,0.465625,,,g
third,26/12/2020 15:09,0.4534375,,,g
third,26/12/2020 15:11,0.473125,,,g
third,26/12/2020 15:12,0.4709375,,,g
third,26/12/2020 15:13,0.3453125,,,g
third,26/12/2020 15:14,0.470625,,,g
third,26/12/2020 15:15,0.470625,,,g
third,26/12/2020 15:16,0.470625,,,g
third,26/12/2020 15:17,0.463125,,,g
third,26/12/2020 15:18,0.4690625,,,g
third,26/12/2020 15:19,0.480625,,,g
third,26/12/2020 15:20,0.4721875,,,g
third,26/12/2020 15:21,0.47,,,g
third,26/12/2020 15:22,0.4609375,,,g
third,26/12/2020 15:23,0.4815625,,,g
third,26/12/2020 15:25,0.255625,,,g
third,26/12/2020 15:26,0.451875,,,g
third,26/12/2020 15:27,0.4496875,,,g
third,26/12/2020 15:28,0.4415625,,,g
third,26/12/2020 15:32,0.4421875,,,g
third,26/12/2020 15:36,0.4628125,,,g
third,26/12/2020 15:38,0.45375,,,g
third,26/12/2020 15:39,0.460625,,,g
third,26/12/2020 15:40,0.4578125,,,g
third,26/12/2020 15:43,0.46125,,,g
third,26/12/2020 15:45,0.463125,,,g
third,26/12/2020 15:46,0.469375,,,g
third,26/12/2020 15:47,0.4734375,,,g
third,26/12/2020 15:48,0.4671875,,,g
third,26/12/2020 15:49,0.4703125,,,g
third,26/12/2020 15:50,0.4615625,,,g
third,26/12/2020 15:51,0.4828125,,,g
third,26/12/2020 15:54,0.474375,,,g
third,26/12/2020 15:55,0.4884375,,,g
third,26/12/2020 15:56,0.479375,,,g
third,26/12/2020 15:57,0.4790625,,,g
third,26/12/2020 15:58,0.4603125,,,g
third,26/12/2020 15:59,0.4709375,,,g
third,26/12/2020 16:07,0.461875,,,g
third,26/12/2020 16:08,0.4628125,,,g
third,26/12/2020 16:09,0.45875,,,g
third,26/12/2020 16:10,0.4725,,,g
third,26/12/2020 16:13,0.47375,,,g
third,26/12/2020 16:14,0.469375,,,g
third,26/12/2020 16:15,0.4709375,,,g
third,26/12/2020 16:16,0.471875,,,g
third,26/12/2020 16:17,0.4734375,,,g
third,26/12/2020 16:19,0.4734375,,,g
third,26/12/2020 16:24,0.4540625,,,g
third,26/12/2020 16:26,0.44875,,,g
third,26/12/2020 16:28,0.45625,,,g
third,26/12/2020 16:30,0.4490625,,,g
third,26/12/2020 16:31,0.4553125,,,g
third,26/12/2020 16:33,0.4671875,,,g
third,26/12/2020 16:34,0.45625,,,g
third,26/12/2020 16:35,0.455625,,,g
third,26/12/2020 16:36,0.46875,,,g
third,26/12/2020 16:37,0.4703125,,,g
third,26/12/2020 16:41,0.480625,,,g
third,26/12/2020 16:42,0.471875,,,g
third,26/12/2020 16:43,0.4665625,,,g
third,26/12/2020 16:45,0.48,,,g
third,26/12/2020 16:47,0.4809375,,,g
third,26/12/2020 16:48,0.48,,,g
third,26/12/2020 16:50,0.485625,,,g
third,26/12/2020 16:51,0.489375,,,g
third,26/12/2020 16:52,0.49125,,,g
third,26/12/2020 16:53,0.4865625,,,g
third,26/12/2020 16:56,0.488125,,,g
third,26/12/2020 16:57,0.4921875,,,g
third,26/12/2020 16:58,0.4778125,,,g
third,26/12/2020 16:59,0.49125,,,g
third,26/12/2020 17:02,0.4809375,,,g
third,26/12/2020 17:03,0.4675,,,g
third,26/12/2020 17:04,0.4746875,,,g
third,26/12/2020 17:05,0.45875,,,g
third,26/12/2020 17:06,0.474375,,,g
third,26/12/2020 17:07,0.4740625,,,g
third,26/12/2020 17:08,0.4959375,,,g
third,26/12/2020 17:09,0.48375,,,g
third,26/12/2020 17:11,0.4734375,,,g
third,26/12/2020 17:12,0.4703125,,,g
third,26/12/2020 17:13,0.459375,,,g
third,26/12/2020 17:14,0.4525,,,g
third,26/12/2020 17:17,0.478125,,,g
third,26/12/2020 17:18,0.4759375,,,g
third,26/12/2020 17:19,0.455625,,,g
third,26/12/2020 17:20,0.469375,,,g
third,26/12/2020 17:21,0.4590625,,,g
third,26/12/2020 17:22,0.464375,,,g
third,26/12/2020 17:24,0.4471875,,,g
third,26/12/2020 17:27,0.45,,,g
third,26/12/2020 17:28,0.469375,,,g
third,26/12/2020 17:29,0.4475,,,g
third,26/12/2020 17:30,0.455625,,,g
third,26/12/2020 17:31,0.3584375,,,g
third,26/12/2020 17:32,0.4503125,,,g
third,26/12/2020 17:33,0.441875,,,g
third,26/12/2020 17:34,0.4484375,,,g
third,26/12/2020 17:35,0.4425,,,g
third,26/12/2020 17:38,0.4515625,,,g
third,26/12/2020 17:44,0.0434375,,,g
third,26/12/2020 17:46,0.0515625,,,g
third,26/12/2020 17:49,0.0565625,,,g
third,26/12/2020 17:53,0.0278125,,,g
third,26/12/2020 17:54,0.030625,,,g
third,26/12/2020 17:55,0.029375,,,g
third,26/12/2020 17:57,0.025625,,,g
third,26/12/2020 17:58,0.034375,,,g
third,26/12/2020 17:59,0.0296875,,,g
third,26/12/2020 18:00,0.02875,,,g
third,26/12/2020 18:01,0.024375,,,g
third,26/12/2020 18:02,0.0296875,,,g
third,26/12/2020 18:03,0.03,,,g
third,26/12/2020 18:04,0.03125,,,g
third,26/12/2020 18:05,0.030625,,,g
third,26/12/2020 18:06,0.0275,,,g
third,26/12/2020 18:07,0.0315625,,,g
third,26/12/2020 18:08,0.0271875,,,g
third,26/12/2020 18:09,0.0309375,,,g
third,26/12/2020 18:10,0.0271875,,,g
third,26/12/2020 18:11,0.0290625,,,g
third,26/12/2020 18:12,0.0275,,,g
third,26/12/2020 18:13,0.031875,,,g
third,26/12/2020 18:14,0.0340625,,,g
third,26/12/2020 18:15,0.03125,,,g
third,26/12/2020 18:16,0.02875,,,g
third,26/12/2020 18:17,0.03125,,,g
third,26/12/2020 18:18,0.03125,,,g
third,26/12/2020 18:19,0.0334375,,,g
third,26/12/2020 18:20,0.0365625,,,g
third,26/12/2020 18:26,0.0509375,,,g
third,26/12/2020 18:32,0.0525,,,g
third,26/12/2020 18:34,0.3590625,,,g
third,26/12/2020 18:36,0.0509375,,,g
third,26/12/2020 18:37,0.471875,,,g
third,26/12/2020 18:38,0.489375,,,g
third,26/12/2020 18:41,0.076875,,,g
third,26/12/2020 18:42,0.4484375,,,g
third,26/12/2020 18:44,0.070625,,,g
third,26/12/2020 18:45,0.0553125,,,g
third,26/12/2020 18:46,0.44875,,,g
third,26/12/2020 18:47,0.4775,,,g
third,26/12/2020 18:49,0.06375,,,g
third,26/12/2020 18:50,0.0525,,,g
third,26/12/2020 18:52,0.0496875,,,g
third,26/12/2020 18:53,0.0540625,,,g
third,26/12/2020 18:54,0.4403125,,,g
third,26/12/2020 18:55,0.0715625,,,g
third,26/12/2020 19:00,0.2928125,,,g
third,26/12/2020 19:02,0.48875,,,g
third,26/12/2020 19:03,0.4878125,,,g
third,26/12/2020 19:09,0.0509375,,,g
third,26/12/2020 19:12,0.0478125,,,g
third,26/12/2020 19:13,0.0521875,,,g
third,26/12/2020 19:15,0.42125,,,g
third,26/12/2020 19:18,0.059375,,,g
third,26/12/2020 19:19,0.050625,,,g
third,26/12/2020 19:20,0.4709375,,,g
third,26/12/2020 19:28,0.4884375,,,g
third,26/12/2020 19:29,0.0634375,,,g
third,26/12/2020 19:33,0.054375,,,g
third,26/12/2020 19:37,0.4603125,,,g
third,26/12/2020 19:39,0.0546875,,,g
third,26/12/2020 19:40,0.06375,,,g
third,26/12/2020 19:42,0.4546875,,,g
third,26/12/2020 19:43,0.06,,,g
third,26/12/2020 19:44,0.054375,,,g
third,26/12/2020 19:45,0.05,,,g
third,26/12/2020 19:48,0.0503125,,,g
